dedupe_key,symbol,strategy_family,strategy_label,parameter_hash,run_count_before_dedupe,kept_run_id,dropped_run_ids,has_conflict_duplicates
PLTR::macd_crossover::macd-baseline::cc7f7d1c3dad2ebaf928756250404dc3b06d7200,PLTR,macd_crossover,macd-baseline,cc7f7d1c3dad2ebaf928756250404dc3b06d7200,2,PLTR-macd-baseline-20260412T075446-macd-baseline,['PLTR-macd-baseline-20260412T074903-macd-baseline'],False
PLTR::moving_average_crossover::ma-10-30::35be04e412c34f2580005e7e234e9d7b041634a8,PLTR,moving_average_crossover,ma-10-30,35be04e412c34f2580005e7e234e9d7b041634a8,2,PLTR-ma-10-30-20260412T075445-ma-10-30,['PLTR-ma-10-30-20260412T074902-ma-10-30'],False
PLTR::moving_average_crossover::ma-3-15::69374c13bf7522591efb43b570e65bdd31da3add,PLTR,moving_average_crossover,ma-3-15,69374c13bf7522591efb43b570e65bdd31da3add,2,PLTR-ma-3-15-20260412T075444-ma-3-15,['PLTR-ma-3-15-20260412T074901-ma-3-15'],False
PLTR::moving_average_crossover::ma-8-21::68876fc46f1bc740ab36d47876747c7ba2407011,PLTR,moving_average_crossover,ma-8-21,68876fc46f1bc740ab36d47876747c7ba2407011,2,PLTR-ma-8-21-20260412T075445-ma-8-21,['PLTR-ma-8-21-20260412T074902-ma-8-21'],False
PLTR::moving_average_crossover::ma-baseline::33bc22daf5108f93b692b8c7f7d6c24e9b9ee9e6,PLTR,moving_average_crossover,ma-baseline,33bc22daf5108f93b692b8c7f7d6c24e9b9ee9e6,2,PLTR-ma-baseline-20260412T075444-ma-baseline,['PLTR-ma-baseline-20260412T074901-ma-baseline'],False
PLTR::rsi_threshold::rsi-14-35-65::85f9b6d3e41d73d152f44383b094863ca64d0c83,PLTR,rsi_threshold,rsi-14-35-65,85f9b6d3e41d73d152f44383b094863ca64d0c83,2,PLTR-rsi-14-35-65-20260412T075445-rsi-14-35-65,['PLTR-rsi-14-35-65-20260412T074903-rsi-14-35-65'],False
PLTR::rsi_threshold::rsi-21-30-70::4dbe4870cef1a5db9953fc5af2742bde5104a63c,PLTR,rsi_threshold,rsi-21-30-70,4dbe4870cef1a5db9953fc5af2742bde5104a63c,2,PLTR-rsi-21-30-70-20260412T075446-rsi-21-30-70,['PLTR-rsi-21-30-70-20260412T074903-rsi-21-30-70'],False
PLTR::rsi_threshold::rsi-6-25-75::314f044a3bf4b4a0fc0db67d15c755c2afdbef55,PLTR,rsi_threshold,rsi-6-25-75,314f044a3bf4b4a0fc0db67d15c755c2afdbef55,2,PLTR-rsi-6-25-75-20260412T075445-rsi-6-25-75,['PLTR-rsi-6-25-75-20260412T074902-rsi-6-25-75'],False
PLTR::rsi_threshold::rsi-baseline::f7c06f158ab2eb36975772ca7503b4e1d278befd,PLTR,rsi_threshold,rsi-baseline,f7c06f158ab2eb36975772ca7503b4e1d278befd,2,PLTR-rsi-baseline-20260412T075445-rsi-baseline,['PLTR-rsi-baseline-20260412T074902-rsi-baseline'],False
RBLX::macd_crossover::macd-10-30-9::ecb8de5567887d0d5655ffc7418ad0e8a9b715ae,RBLX,macd_crossover,macd-10-30-9,ecb8de5567887d0d5655ffc7418ad0e8a9b715ae,2,RBLX-macd-10-30-9-20260412T075447-macd-10-30-9,['RBLX-macd-10-30-9-20260412T074903-macd-10-30-9'],False
RBLX::macd_crossover::macd-5-35-5::5cf7374800361e5fe1dd036e0afe65c9da0c4690,RBLX,macd_crossover,macd-5-35-5,5cf7374800361e5fe1dd036e0afe65c9da0c4690,2,RBLX-macd-5-35-5-20260412T075447-macd-5-35-5,['RBLX-macd-5-35-5-20260412T074904-macd-5-35-5'],False
RBLX::macd_crossover::macd-8-21-5::533530cf71e232d34ce704c3153f276e2cb4f8ec,RBLX,macd_crossover,macd-8-21-5,533530cf71e232d34ce704c3153f276e2cb4f8ec,2,RBLX-macd-8-21-5-20260412T075446-macd-8-21-5,['RBLX-macd-8-21-5-20260412T074903-macd-8-21-5'],False
RBLX::macd_crossover::macd-baseline::cc7f7d1c3dad2ebaf928756250404dc3b06d7200,RBLX,macd_crossover,macd-baseline,cc7f7d1c3dad2ebaf928756250404dc3b06d7200,2,RBLX-macd-baseline-20260412T075446-macd-baseline,['RBLX-macd-baseline-20260412T074903-macd-baseline'],False
RBLX::moving_average_crossover::ma-10-30::35be04e412c34f2580005e7e234e9d7b041634a8,RBLX,moving_average_crossover,ma-10-30,35be04e412c34f2580005e7e234e9d7b041634a8,2,RBLX-ma-10-30-20260412T075445-ma-10-30,['RBLX-ma-10-30-20260412T074902-ma-10-30'],False
