date,close,action,position,cash
2017-04-04,44.59000015258789,hold,0,99979.80000686646
2017-04-05,44.4900016784668,hold,0,99979.80000686646
2017-04-06,44.18000030517578,hold,0,99979.80000686646
2017-04-07,44.290000915527344,hold,0,99979.80000686646
2017-04-10,44.0,hold,0,99979.80000686646
2017-04-11,44.16999816894531,hold,0,99979.80000686646
2017-04-12,44.18000030517578,buy,1,99935.62000656128
2017-04-13,44.0,sell,0,99979.62000656128
2017-04-17,44.290000915527344,buy,1,99935.33000564575
2017-04-18,44.52000045776367,buy,2,99890.81000518799
2017-04-19,44.189998626708984,sell,0,99979.1900024414
2017-04-20,44.529998779296875,buy,1,99934.66000366211
2017-04-21,44.43000030517578,buy,2,99890.23000335693
2017-04-24,44.84000015258789,buy,3,99845.39000320435
2017-04-25,44.720001220703125,buy,4,99800.67000198364
2017-04-26,44.689998626708984,buy,5,99755.98000335693
2017-04-27,44.77000045776367,buy,6,99711.21000289917
2017-04-28,44.959999084472656,buy,7,99666.2500038147
2017-05-01,45.04999923706055,buy,8,99621.20000457764
2017-05-02,45.130001068115234,buy,9,99576.07000350952
2017-05-03,44.88999938964844,sell,0,99980.07999801636
2017-05-04,45.470001220703125,buy,1,99934.60999679565
2017-05-05,45.58000183105469,buy,2,99889.0299949646
2017-05-08,45.560001373291016,buy,3,99843.46999359131
2017-05-09,45.47999954223633,buy,4,99797.98999404907
2017-05-10,45.529998779296875,buy,5,99752.45999526978
2017-05-11,45.15999984741211,sell,0,99978.25999450684
2017-05-12,45.08000183105469,hold,0,99978.25999450684
2017-05-15,45.31999969482422,buy,1,99932.93999481201
2017-05-16,45.290000915527344,buy,2,99887.64999389648
2017-05-17,44.22999954223633,sell,0,99976.10999298096
2017-05-18,44.16999816894531,hold,0,99976.10999298096
2017-05-19,44.310001373291016,hold,0,99976.10999298096
2017-05-22,44.630001068115234,buy,1,99931.47999191284
2017-05-23,44.560001373291016,buy,2,99886.91999053955
2017-05-24,44.83000183105469,buy,3,99842.0899887085
2017-05-25,45.20000076293945,buy,4,99796.88998794556
2017-05-26,45.2599983215332,buy,5,99751.62998962402
2017-05-30,45.41999816894531,buy,6,99706.20999145508
2017-05-31,45.38999938964844,buy,7,99660.81999206543
2017-06-01,45.790000915527344,buy,8,99615.0299911499
2017-06-02,45.65999984741211,buy,9,99569.36999130249
2017-06-05,45.91999816894531,buy,10,99523.44999313354
2017-06-06,45.61000061035156,sell,0,99979.54999923706
2017-06-07,45.400001525878906,hold,0,99979.54999923706
2017-06-08,45.41999816894531,hold,0,99979.54999923706
2017-06-09,45.029998779296875,hold,0,99979.54999923706
2017-06-12,44.849998474121094,hold,0,99979.54999923706
2017-06-13,44.97999954223633,hold,0,99979.54999923706
2017-06-14,44.810001373291016,hold,0,99979.54999923706
2017-06-15,44.68000030517578,hold,0,99979.54999923706
2017-06-16,45.09000015258789,buy,1,99934.45999908447
2017-06-19,45.72999954223633,buy,2,99888.72999954224
2017-06-20,45.84000015258789,buy,3,99842.88999938965
2017-06-21,46.33000183105469,buy,4,99796.5599975586
2017-06-22,50.29999923706055,buy,5,99746.25999832153
2017-06-23,50.95000076293945,buy,6,99695.3099975586
2017-06-26,50.86000061035156,buy,7,99644.44999694824
2017-06-27,50.75,buy,8,99593.69999694824
2017-06-28,50.869998931884766,buy,9,99542.82999801636
2017-06-29,50.20000076293945,sell,0,99994.63000488281
2017-06-30,50.13999938964844,hold,0,99994.63000488281
2017-07-03,49.36000061035156,hold,0,99994.63000488281
2017-07-05,49.459999084472656,hold,0,99994.63000488281
2017-07-06,48.849998474121094,hold,0,99994.63000488281
2017-07-07,49.349998474121094,hold,0,99994.63000488281
2017-07-10,49.619998931884766,buy,1,99945.01000595093
2017-07-11,49.880001068115234,buy,2,99895.13000488281
2017-07-12,50.45000076293945,buy,3,99844.68000411987
2017-07-13,50.349998474121094,buy,4,99794.33000564575
2017-07-14,50.560001373291016,buy,5,99743.77000427246
2017-07-17,50.439998626708984,buy,6,99693.33000564575
2017-07-18,50.45000076293945,buy,7,99642.88000488281
2017-07-19,51.0,buy,8,99591.88000488281
2017-07-20,51.130001068115234,buy,9,99540.7500038147
2017-07-21,50.79999923706055,buy,10,99489.95000457764
2017-07-24,50.7599983215332,sell,0,99997.54998779297
2017-07-25,51.16999816894531,buy,1,99946.37998962402
2017-07-26,51.16999816894531,buy,2,99895.20999145508
2017-07-27,50.45000076293945,sell,0,99996.10999298096
2017-07-28,50.29999923706055,hold,0,99996.10999298096
2017-07-31,49.93000030517578,hold,0,99996.10999298096
2017-08-01,50.15999984741211,hold,0,99996.10999298096
2017-08-02,49.77000045776367,hold,0,99996.10999298096
2017-08-03,50.22999954223633,buy,1,99945.87999343872
2017-08-04,49.959999084472656,sell,0,99995.8399925232
2017-08-07,49.63999938964844,hold,0,99995.8399925232
